loading convaiinnovations/laya-multilingual ...
Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 1261.37it/s]
device=mps  encoding=numeric
train obstacle mix: cactus_small=22.9%  cactus_large=22.8%  pterodactyl@0=19.1%  pterodactyl@25=18.3%  pterodactyl@50=15.1%  none=1.9%
train=100000  calib=4000  test=4000
tokens/row: 72 avg, 74 max
  ep0 step3700/18750 loss=0.2366 (78 rows/s)
  ep0 step3800/18750 loss=0.2392 (78 rows/s)
  ep0 step3900/18750 loss=0.1956 (78 rows/s)
  ep0 step4000/18750 loss=0.2050 (78 rows/s)
  ep0 step4100/18750 loss=0.2684 (78 rows/s)
  ep0 step4200/18750 loss=0.2297 (78 rows/s)
  ep0 step4300/18750 loss=0.2238 (78 rows/s)
  ep0 step4400/18750 loss=0.1984 (78 rows/s)
  ep0 step4500/18750 loss=0.2061 (78 rows/s)
  ep0 step4600/18750 loss=0.1981 (78 rows/s)
  ep0 step4700/18750 loss=0.2095 (78 rows/s)
  ep0 step4800/18750 loss=0.2033 (78 rows/s)
  ep0 step4900/18750 loss=0.1998 (78 rows/s)
  ep0 step5000/18750 loss=0.2104 (78 rows/s)
  ep0 step5100/18750 loss=0.1922 (78 rows/s)
  ep0 step5200/18750 loss=0.2117 (78 rows/s)
  ep0 step5300/18750 loss=0.1881 (78 rows/s)
  ep0 step5400/18750 loss=0.1898 (78 rows/s)
  ep0 step5500/18750 loss=0.1948 (78 rows/s)
  ep0 step5600/18750 loss=0.2147 (78 rows/s)
  ep0 step5700/18750 loss=0.2157 (78 rows/s)
  ep0 step5800/18750 loss=0.2006 (78 rows/s)
  ep0 step5900/18750 loss=0.1918 (78 rows/s)
  ep0 step6000/18750 loss=0.1695 (78 rows/s)
  ep0 step6100/18750 loss=0.1891 (78 rows/s)
  ep0 step6200/18750 loss=0.2398 (78 rows/s)
epoch 0: acc=0.930 recall=0.888 precision=0.974 ece=0.019
  ep1 step6300/18750 loss=0.0846 (76 rows/s)
  ep1 step6400/18750 loss=0.1707 (76 rows/s)
  ep1 step6500/18750 loss=0.2070 (76 rows/s)
  ep1 step6600/18750 loss=0.1602 (76 rows/s)
  ep1 step6700/18750 loss=0.1752 (76 rows/s)
  ep1 step6800/18750 loss=0.1859 (76 rows/s)
  ep1 step6900/18750 loss=0.1805 (76 rows/s)
  ep1 step7000/18750 loss=0.1759 (76 rows/s)
  ep1 step7100/18750 loss=0.1808 (76 rows/s)
  ep1 step7200/18750 loss=0.1732 (76 rows/s)
  ep1 step7300/18750 loss=0.1642 (76 rows/s)
  ep1 step7400/18750 loss=0.1981 (76 rows/s)
  ep1 step7500/18750 loss=0.1745 (76 rows/s)
  ep1 step7600/18750 loss=0.1251 (76 rows/s)
  ep1 step7700/18750 loss=0.1865 (76 rows/s)
  ep1 step7800/18750 loss=0.1566 (76 rows/s)
  ep1 step7900/18750 loss=0.1608 (76 rows/s)
  ep1 step8000/18750 loss=0.1541 (76 rows/s)
  ep1 step8100/18750 loss=0.1462 (76 rows/s)
  ep1 step8200/18750 loss=0.1553 (76 rows/s)
  ep1 step8300/18750 loss=0.1567 (76 rows/s)
  ep1 step8400/18750 loss=0.1760 (76 rows/s)
  ep1 step8500/18750 loss=0.1693 (76 rows/s)
  ep1 step8600/18750 loss=0.1797 (76 rows/s)
  ep1 step8700/18750 loss=0.1543 (76 rows/s)
  ep1 step8800/18750 loss=0.1438 (76 rows/s)
  ep1 step8900/18750 loss=0.1499 (76 rows/s)
  ep1 step9000/18750 loss=0.1538 (76 rows/s)
  ep1 step9100/18750 loss=0.1414 (76 rows/s)
  ep1 step9200/18750 loss=0.1380 (76 rows/s)
  ep1 step9300/18750 loss=0.1689 (76 rows/s)
  ep1 step9400/18750 loss=0.1399 (76 rows/s)
  ep1 step9500/18750 loss=0.1506 (76 rows/s)
  ep1 step9600/18750 loss=0.1309 (76 rows/s)
  ep1 step9700/18750 loss=0.1353 (76 rows/s)
  ep1 step9800/18750 loss=0.0871 (76 rows/s)
  ep1 step9900/18750 loss=0.1361 (76 rows/s)
  ep1 step10000/18750 loss=0.1512 (76 rows/s)
  ep1 step10100/18750 loss=0.1135 (76 rows/s)
  ep1 step10200/18750 loss=0.1279 (76 rows/s)
  ep1 step10300/18750 loss=0.1389 (76 rows/s)
  ep1 step10400/18750 loss=0.1478 (77 rows/s)
  ep1 step10500/18750 loss=0.1384 (77 rows/s)
  ep1 step10600/18750 loss=0.1303 (77 rows/s)
  ep1 step10700/18750 loss=0.1713 (77 rows/s)
  ep1 step10800/18750 loss=0.1223 (77 rows/s)
  ep1 step10900/18750 loss=0.1430 (77 rows/s)
  ep1 step11000/18750 loss=0.1373 (77 rows/s)
  ep1 step11100/18750 loss=0.1294 (77 rows/s)
  ep1 step11200/18750 loss=0.1331 (77 rows/s)
  ep1 step11300/18750 loss=0.1151 (77 rows/s)
  ep1 step11400/18750 loss=0.1201 (77 rows/s)
  ep1 step11500/18750 loss=0.1381 (77 rows/s)
  ep1 step11600/18750 loss=0.1152 (77 rows/s)
  ep1 step11700/18750 loss=0.1277 (77 rows/s)
  ep1 step11800/18750 loss=0.1315 (77 rows/s)
  ep1 step11900/18750 loss=0.1395 (77 rows/s)
  ep1 step12000/18750 loss=0.1160 (77 rows/s)
  ep1 step12100/18750 loss=0.1216 (77 rows/s)
  ep1 step12200/18750 loss=0.1275 (77 rows/s)
  ep1 step12300/18750 loss=0.1204 (77 rows/s)
  ep1 step12400/18750 loss=0.1124 (77 rows/s)
  ep1 step12500/18750 loss=0.1120 (77 rows/s)
epoch 1: acc=0.955 recall=0.935 precision=0.977 ece=0.030
  ep2 step12600/18750 loss=0.1263 (76 rows/s)
  ep2 step12700/18750 loss=0.1014 (76 rows/s)
  ep2 step12800/18750 loss=0.0922 (76 rows/s)
  ep2 step12900/18750 loss=0.0965 (76 rows/s)
  ep2 step13000/18750 loss=0.1411 (76 rows/s)
  ep2 step13100/18750 loss=0.1297 (76 rows/s)
  ep2 step13200/18750 loss=0.1025 (76 rows/s)
  ep2 step13300/18750 loss=0.1239 (76 rows/s)
  ep2 step13400/18750 loss=0.1172 (76 rows/s)
  ep2 step13500/18750 loss=0.1085 (76 rows/s)
  ep2 step13600/18750 loss=0.1139 (76 rows/s)
  ep2 step13700/18750 loss=0.1218 (76 rows/s)
  ep2 step13800/18750 loss=0.1083 (76 rows/s)
  ep2 step13900/18750 loss=0.1173 (76 rows/s)
  ep2 step14000/18750 loss=0.1033 (76 rows/s)
  ep2 step14100/18750 loss=0.1083 (76 rows/s)
  ep2 step14200/18750 loss=0.1196 (76 rows/s)
  ep2 step14300/18750 loss=0.1014 (76 rows/s)
  ep2 step14400/18750 loss=0.1116 (76 rows/s)
  ep2 step14500/18750 loss=0.1004 (76 rows/s)
  ep2 step14600/18750 loss=0.1118 (76 rows/s)
  ep2 step14700/18750 loss=0.0972 (76 rows/s)
  ep2 step14800/18750 loss=0.0999 (76 rows/s)
  ep2 step14900/18750 loss=0.1227 (76 rows/s)
  ep2 step15000/18750 loss=0.0871 (76 rows/s)
  ep2 step15100/18750 loss=0.0996 (76 rows/s)
  ep2 step15200/18750 loss=0.1055 (76 rows/s)
  ep2 step15300/18750 loss=0.1077 (76 rows/s)
  ep2 step15400/18750 loss=0.0827 (76 rows/s)
  ep2 step15500/18750 loss=0.1049 (76 rows/s)
  ep2 step15600/18750 loss=0.1256 (76 rows/s)
  ep2 step15700/18750 loss=0.1032 (76 rows/s)
  ep2 step15800/18750 loss=0.1039 (76 rows/s)
  ep2 step15900/18750 loss=0.1041 (76 rows/s)
  ep2 step16000/18750 loss=0.1042 (76 rows/s)
  ep2 step16100/18750 loss=0.1159 (76 rows/s)
  ep2 step16200/18750 loss=0.0858 (76 rows/s)
  ep2 step16300/18750 loss=0.0742 (76 rows/s)
  ep2 step16400/18750 loss=0.0985 (76 rows/s)
  ep2 step16500/18750 loss=0.0918 (76 rows/s)
  ep2 step16600/18750 loss=0.1048 (76 rows/s)
  ep2 step16700/18750 loss=0.1019 (76 rows/s)
  ep2 step16800/18750 loss=0.0898 (76 rows/s)
  ep2 step16900/18750 loss=0.0870 (76 rows/s)
  ep2 step17000/18750 loss=0.1033 (76 rows/s)
  ep2 step17100/18750 loss=0.0906 (76 rows/s)
  ep2 step17200/18750 loss=0.1047 (76 rows/s)
  ep2 step17300/18750 loss=0.0762 (76 rows/s)
  ep2 step17400/18750 loss=0.0747 (76 rows/s)
  ep2 step17500/18750 loss=0.0812 (76 rows/s)
  ep2 step17600/18750 loss=0.1020 (76 rows/s)
  ep2 step17700/18750 loss=0.0803 (76 rows/s)
  ep2 step17800/18750 loss=0.1033 (76 rows/s)
  ep2 step17900/18750 loss=0.1172 (76 rows/s)
  ep2 step18000/18750 loss=0.0704 (76 rows/s)
  ep2 step18100/18750 loss=0.1142 (76 rows/s)
  ep2 step18200/18750 loss=0.0913 (76 rows/s)
  ep2 step18300/18750 loss=0.0955 (76 rows/s)
  ep2 step18400/18750 loss=0.1111 (76 rows/s)
  ep2 step18500/18750 loss=0.0920 (76 rows/s)
  ep2 step18600/18750 loss=0.1182 (76 rows/s)
  ep2 step18700/18750 loss=0.0913 (76 rows/s)
epoch 2: acc=0.964 recall=0.963 precision=0.967 ece=0.022

fitted temperature: 1.568
ECE  before=0.0217  after=0.0133
acc  before=0.9643  after=0.9643  (temperature cannot change argmax; acc should be identical)
saved -> checkpoints/dino_head_numeric.pt
